;emotions.data.angry;emotions.data.disgust;emotions.data.fear;emotions.data.happy;emotions.data.sad;emotions.data.surprise;emotions.data.neutral;ogama_gazepoint.data.trigger
65;4.97-0.0;4.97-0.0;4.97-0.0006;4.97-0.0496;4.97-0.0053;4.97-0.0;4.97-0.9445;0.0-0
66;5.04-0.0005;5.04-0.0;5.04-0.0016;5.04-0.0554;5.04-0.02;5.04-0.0002;5.04-0.9223;0.0-49
67;5.11-0.0011;5.11-0.0;5.11-0.0015;5.11-0.0067;5.11-0.0212;5.11-0.0;5.11-0.9694;0.0-0
68;5.19-0.0058;5.19-0.0;5.19-0.0071;5.19-0.0065;5.19-0.0638;5.19-0.0003;5.19-0.9165;0.0-0
69;5.26-0.003;5.26-0.0;5.26-0.0038;5.26-0.0031;5.26-0.0374;5.26-0.0001;5.26-0.9526;0.0-0
70;5.33-0.0048;5.33-0.0;5.33-0.0018;5.33-0.009;5.33-0.0293;5.33-0.0001;5.33-0.9549;0.0-0
71;5.41-0.0475;5.41-0.0001;5.41-0.0394;5.41-0.0037;5.41-0.1959;5.41-0.0004;5.41-0.713;0.0-0
72;5.5-0.0123;5.5-0.0;5.5-0.0071;5.5-0.0015;5.5-0.0544;5.5-0.0001;5.5-0.9247;0.0-0
73;5.56-0.0054;5.56-0.0;5.56-0.0011;5.56-0.0004;5.56-0.0229;5.56-0.0;5.56-0.9703;0.0-0
74;5.63-0.0153;5.63-0.0;5.63-0.0129;5.63-0.0021;5.63-0.0792;5.63-0.0003;5.63-0.8902;0.0-0
75;5.71-0.0018;5.71-0.0;5.71-0.0064;5.71-0.0059;5.71-0.054;5.71-0.0001;5.71-0.9317;0.0-0
76;5.78-0.0011;5.78-0.0;5.78-0.0017;5.78-0.0014;5.78-0.0443;5.78-0.0;5.78-0.9514;0.0-0
77;5.88-0.0006;5.88-0.0;5.88-0.0001;5.88-0.0007;5.88-0.0162;5.88-0.0;5.88-0.9825;0.0-0
78;5.95-0.0248;5.95-0.0;5.95-0.0268;5.95-0.0088;5.95-0.0798;5.95-0.0009;5.95-0.8589;0.0-0
79;6.03-0.0408;6.03-0.0;6.03-0.0302;6.03-0.0015;6.03-0.1514;6.03-0.0002;6.03-0.7759;0.0-0
80;6.11-0.0983;6.11-0.0;6.11-0.1114;6.11-0.0021;6.11-0.2828;6.11-0.0003;6.11-0.505;0.0-0
81;6.19-0.1013;6.19-0.0;6.19-0.0523;6.19-0.0009;6.19-0.3258;6.19-0.0003;6.19-0.5193;0.0-0
